gsp_id,gsp_name
0,NATIONAL
1,ABHA1
2,ABNE_P
3,ABTH_1
4,ACTL_2|CBNK_H|GREE_H|PERI_H
5,ACTL_C|WISD_1|WISD_6
6,ALNE_P
7,ALST_3|USKM_1
8,ALVE1
9,AMEM_1
10,ARBR_P
11,ARDK_P|CLAC_P
12,ARMO_P
13,AXMI1
14,AYRR
15,BAGA
16,BAIN
17,BARKC1|BARKW3
18,BEAU_P|ORRI_P
19,BEDDT1
20,BEDD_1
21,BERB_P|CAIF_P|DALL_P|GLEF_P|KEIT_P
22,BERW
23,BESW_1
24,BICF_1
25,BIRK_1
26,BISW_1
27,BLYTB1
28,BLYTH132
29,BOAG_P
30,BOLN_1
31,BONN
32,BOTW_1
33,BRAC_P
34,BRAI_1
35,BRAP
36,BRAW_1
37,BRED_1
38,BRFO_1|CLT03
39,BRID_P
40,BRIM_1
41,BRLE_1|FLEE_1
42,BROA_P
43,BROR_P
44,BROX
45,BRWA1
46,BUMU_P
47,BURM_1
48,BUSH_1
49,BUST_1
50,CAAD_P
51,CAFA|EAST|GLLE|KEOO|TONG
52,CAMB_01
53,CANTN1|RICH_J|RICH1
54,CAPEA1
55,CARE_1
56,CARR_1
57,CASS_P
58,CATY
59,CEAN_P
60,CELL_1
61,CHAP
62,CHAR_P
63,CHAS
64,CHIC_1
65,CHSI_1
66,CHTE_1
67,CITR_1
68,CLAY_P
69,CLYM
70,COAT
71,COCK
72,CONQA1|SASA
73,COUA_P
74,COVE_1
75,COWL_1|ECLA_H
76,COYL
77,CRAI_P
78,CREB_1
79,CROO
80,CUMB
81,CUPA
82,CURR
83,DALM3
84,DEVM
85,DEVO
86,DEWP
87,DOUN_P
88,DRAK_1
89,DRAX_1
90,DRCR
91,DRUM
92,DUBE_P
93,DUDH_P
94,DUGR_P
95,DUMF
96,DUNB
97,DUNF
98,DUNO_P
99,DYCE_P
100,EALI_6
101,EASO_1
102,ECCL
103,ECLA_1
104,EERH
105,EKIL
106,EKIS
107,ELDE
108,ELGI_P
109,ELLA_1
110,ELST_1
111,ENDE_1
112,ERSK
113,EXET1
114,FASN_P
115,FAUG_P
116,FAWL_1
117,FECK_6
118,FERRA2
119,FERRB_M|FERRB1
120,FETT_P|KINT_P
121,FIDD_P
122,FIDF_1
123,FINN
124,FOUR_1
125,FRAS_P
126,FROD_1
127,FWIL_P
128,GALA
129,GIFF
130,GLLU
131,GLNI
132,GLRO
133,GORG
134,GOVA
135,GREN_1
136,GRIW_1
137,GRMO
138,GRUB_P
139,G_EXTRA_12
140,HACK_1|HACK_6
141,HAGR
142,HAMHC1
143,HARK_1|HUTT_1|RRIG
144,HARM_6
145,HAWI
146,HAWP_6
147,HELE
148,HEYS_1|HEYS1|ORMO
149,HUER
150,HURS_1
151,IMPK_1
152,INDQ1
153,INKE
154,INNE_P
155,IROA1
156,IRONB1
157,ISLI_1|WHAM_1
158,IVER_1|IVER_6
159,JOHN
160,JORD_3
161,KAIM
162,KEAD_1
163,KEAR_1|KEAR_3
164,KEMS_1
165,KIBY_1
166,KIBY_G|WASF_1
167,KIER
168,KIIN_P
169,KILB
170,KILS
171,KILT
172,KILW
173,KINL_P
174,KINO_1
175,KIRKB1
176,KITW_1
177,KNAR
178,LACK_6
179,LAIR_P
180,LALE1SG003
181,LAND1
182,LEGA_1
183,LEVE
184,LING
185,LINM
186,LISD_1
187,LITT_C
188,LITT_J
189,LODR_6
190,LOUD_H
191,LOVE_1
192,LUNA_P
193,LYND_P
194,MACC_3
195,MACD_P
196,MAGA_6
197,MANN_1
198,MAYB
199,MELK_1
200,MILC_P
201,MILH_1
202,MITY_1
203,MYBS_P
204,NAIR_P
205,NEAR
206,NECE_1
207,NEEP_3
208,NETS
209,NEWX_6
210,NFLE
211,NHYD_6
212,NINF_1
213,NORL_3
214,NORM_1|SALL1
215,NORT_1
216,NURS_1
217,OCKH_1
218,OFFE_3
219,OLDB_1
220,OSBA_1
221,PADIB1
222,PAIS
223,PART
224,PEHG_P
225,PEHS_P|STRI_P
226,PELH_1
227,PEMB_1
228,PENE_1
229,PENN_1
230,PENT_1
231,PENW_1|STAH_1|WABO
232,PERS_P
233,PITS_3
234,POOB
235,POPP_3
236,PORA_P
237,PORD
238,PYLE_1
239,QUOI_P
240,RAIN_1
241,RANN_P
242,RASS_1
243,RATS_1
244,RAVE|WISH
245,RAYL_1
246,REBR_3
247,REDH
248,REDM_P
249,ROCH_1
250,RUGEB1
251,RYEH_1
252,SACO
253,SALH_1
254,SALT_1
255,SANX
256,SBAR
257,SEAB1
258,SELL_1
259,SFEG_P
260,SFIL_P
261,SHEC_3
262,SHIN_P
263,SHRU
264,SHRW_1
265,SIGH
266,SJOW_1
267,SKLGB1
268,SLOY_P
269,SMAN_1
270,SPAV
271,SPEN_1
272,SSHI_3
273,STAL_1
274,STAY_1
275,STEN_1
276,STES_1
277,STHA
278,STIR
279,STLE
280,SUND_1
281,SWAN_1
282,TARL_P
283,TAUN1
284,TAYN_P
285,TELR
286,TEMP_3
287,THOM_6
288,THSO_P
289,THUR_6
290,TILBB_1
291,TOTT_1
292,TRAW_1
293,TUMB_P
294,TYNE_1|TYNE_2
295,UPPB_1|UPPB_3
296,WALH_1
297,WALP_1
298,WALP_B
299,WARL_1
300,WATFS_1
301,WBOL_6
302,WBUR_1
303,WFIE
304,WGEO
305,WHGA_1
306,WHHO
307,WIBA_3
308,WIEN_1
309,WILL_1
310,WIMBN1|WIMBS1
311,WIOW_P
312,WMEL_1
313,WOHI_P
314,WTHU31
315,WWEY_1
316,WYLF_1
317,WYMOM_1